,0
33,ARM
95,GBR
298,ASM
97,ARG
15,MMR
35,GEO
16,PHL
6,CHN
94,CHE
142,IRN
191,ZMB
98,CHL
66,BRN
67,JPN
110,DMA
193,BWA
63,UKR
79,FIN
47,CZE
36,KAZ
206,GMB
48,HUN
17,LKA
34,AZE
385,PRI
7,PRK
522,SDN
18,THA
80,FRA
393,KNA
194,LSO
207,GHA
78,DNK
37,KGZ
109,CUB
8,TWN
175,BDI
208,GIN
19,TLS
141,EGY
101,CAN
10,KHM
396,SMR
190,UGA
111,DOM
173,GAB
81,DEU
157,YEM
112,GRD
127,SLV
49,MKD
176,COM
143,IRQ
38,MNG
125,COL
50,MNE
12,LAO
20,VNM
126,CRI
160,AFG
113,GUY
144,JOR
128,GTM
195,NAM
22,FJI
82,GRC
161,BGD
51,POL
13,MYS
39,TJK
177,DJI
129,HND
145,KWT
41,UZB
115,JAM
413,TKL
52,ROU
178,ERI
83,ISL
23,KIR
24,MHL
209,GNB
163,IND
180,KEN
53,SRB
85,ISR
147,LBY
422,ALA
84,IRL
162,BTN
114,HTI
210,LBR
320,COK
99,URY
349,GRL
118,SUR
416,TUV
62,RUS
119,TTO
211,MLI
146,LBN
44,BIH
305,BMU
11,IDN
40,TKM
148,MAR
54,SVK
212,MRT
435,SSD
86,ITA
130,MEX
71,AUS
131,NIC
117,VCT
179,ETH
25,FSM
213,NER
26,PNG
14,MDV
69,SGP
149,PSE
105,ATG
196,ZAF
106,BHS
181,MDG
198,ZWE
116,LCA
164,NPL
68,KOR
30,VUT
46,HRV
197,SWZ
55,SVN
107,BRB
72,NZL
132,PAN
45,BGR
133,VEN
369,NRU
102,USA
57,BLR
108,BLZ
87,LUX
88,MLT
75,AUT
89,NLD
58,EST
76,BEL
183,MUS
90,NOR
351,GUM
43,ALB
200,BEN
91,PRT
184,MOZ
92,ESP
93,SWE
186,SYC
201,BFA
367,MCO
150,OMN
202,CMR
187,SOM
151,QAT
203,CPV
189,TZA
214,NGA
204,TCD
152,SAU
374,NIU
135,BRA
165,PAK
205,CIV
59,LVA
376,MNP
216,SEN
154,TUN
136,PRY
380,PLW
121,BOL
122,ECU
217,SLE
60,LTU
27,WSM
139,DZA
155,TUR
28,SLB
123,PER
218,TGO
168,AGO
29,TON
153,SYR
185,RWA
169,CAF
156,ARE
170,COG
171,COD
140,BHR
172,GNQ
182,MWI
77,CYP
61,MDA
74,AND
215,STP
