includes_china?,cause,age_group,theta,theta_se,alpha,mu,tau
"All-regions, INcluding China",Non-accidental function (Non-Communicable + LRI deaths),25-29,0.1585,0.01477,1.6,15.5,36.8
"All-regions, INcluding China",Non-accidental function (Non-Communicable + LRI deaths),30-34,0.1577,0.0147,1.6,15.5,36.8
"All-regions, INcluding China",Non-accidental function (Non-Communicable + LRI deaths),35-39,0.157,0.01463,1.6,15.5,36.8
"All-regions, INcluding China",Non-accidental function (Non-Communicable + LRI deaths),40-44,0.1558,0.0145,1.6,15.5,36.8
"All-regions, INcluding China",Non-accidental function (Non-Communicable + LRI deaths),45-49,0.1532,0.01425,1.6,15.5,36.8
"All-regions, INcluding China",Non-accidental function (Non-Communicable + LRI deaths),50-54,0.1499,0.01394,1.6,15.5,36.8
"All-regions, INcluding China",Non-accidental function (Non-Communicable + LRI deaths),55-59,0.1462,0.01361,1.6,15.5,36.8
"All-regions, INcluding China",Non-accidental function (Non-Communicable + LRI deaths),60-64,0.1421,0.01325,1.6,15.5,36.8
"All-regions, INcluding China",Non-accidental function (Non-Communicable + LRI deaths),65-69,0.1374,0.01284,1.6,15.5,36.8
"All-regions, INcluding China",Non-accidental function (Non-Communicable + LRI deaths),70-74,0.1319,0.01234,1.6,15.5,36.8
"All-regions, INcluding China",Non-accidental function (Non-Communicable + LRI deaths),75-79,0.1253,0.01174,1.6,15.5,36.8
"All-regions, INcluding China",Non-accidental function (Non-Communicable + LRI deaths),80+,0.1141,0.01071,1.6,15.5,36.8
"All-regions, INcluding China",Ischaemic Heart Disease,25-29,0.507,0.02458,1.9,12.0,40.2
"All-regions, INcluding China",Ischaemic Heart Disease,30-34,0.4762,0.02309,1.9,12.0,40.2
"All-regions, INcluding China",Ischaemic Heart Disease,35-39,0.4455,0.0216,1.9,12.0,40.2
"All-regions, INcluding China",Ischaemic Heart Disease,40-44,0.4148,0.02011,1.9,12.0,40.2
"All-regions, INcluding China",Ischaemic Heart Disease,45-49,0.3841,0.01862,1.9,12.0,40.2
"All-regions, INcluding China",Ischaemic Heart Disease,50-54,0.3533,0.01713,1.9,12.0,40.2
"All-regions, INcluding China",Ischaemic Heart Disease,55-59,0.3226,0.01564,1.9,12.0,40.2
"All-regions, INcluding China",Ischaemic Heart Disease,60-64,0.2919,0.01415,1.9,12.0,40.2
"All-regions, INcluding China",Ischaemic Heart Disease,65-69,0.2612,0.01266,1.9,12.0,40.2
"All-regions, INcluding China",Ischaemic Heart Disease,70-74,0.2304,0.01117,1.9,12.0,40.2
